Category	Rule	Claims Adjuster Level 1	Claims Adjuster Level 2	Claims Adjuster Level 3	Claims Adjuster Level 4	Claims Admin / Procurement	Claims Executive	Claims Manager	Claims Payment Processing 2	Claims Payment Processing Manager	Claims Payment Processor	Loss Control	TPA Administrator
	EDIT Rating Rules												Y
	DELETE Rating Rules												Y
	READ Deal Structure						Y					Y	Y
	EDIT Deal Structure											Y	Y
	DELETE Deal Structure												Y
	EDIT External Partner Information											Y	Y
	DELETE Servicer Preferences											Y	Y
	READ Monthly Sale Data						Y					Y	Y
	EDIT Montly Sale Data												Y
	EDIT Monthly Sale Data - 2 months only												Y
	ADD Servicer Preferences						Y			Y		Y	Y
	EDIT Claim Payment Method											Y	Y
	EDIT Servicer Preferences						Y			Y		Y	Y
	EDIT Contract Payment Method									Y			Y
	EDIT Refund Pay Method												Y
	READ Main Agent						Y	Y	Y	Y	Y	Y	Y
	EDIT Main Agent												Y
	READ Administration Portal						Y					Y	Y
	READ Rating Profile						Y		Y	Y	Y	Y	Y
	EDIT Rating Profile											Y	Y
	READ Dealer Markup/Packs						Y					Y	Y
	ADD Dealer Markup/Packs												Y
	EDIT Dealer Markup/Packs												Y
	DELETE Dealer Markup/Packs												Y
	READ Dealer Audit Log Tab											Y	Y
	EDIT Dealer Auto-Void Settings												Y
	Update Unpaid Claims with New Payment Data												Y
Dealer - Configure Supplies	READ Configure Supplies												Y
	ALLOW Order Supplies												Y
Dealer Group	EDIT Federal Tax ID												Y
	VIEW Federal Tax ID												Y
	READ Dealer Groups						Y	Y	Y	Y	Y	Y	Y
	ADD Dealer Groups											Y	Y
	EDIT Dealer Group Number											Y	Y
	READ Dealer Group Proforma						Y					Y	Y
	EDIT Dealer Group Seller Assignment												Y
	READ Notes											Y	Y
	ADD Notes											Y	Y
	EDIT Notes											Y	Y
	DELET Notes												Y
Dealer Group Configuration	READ Dealer Group Configuration.						Y					Y	Y
	ADD Dealer Group Configuration.											Y	Y
	EDIT Dealer Group Configuration.											Y	Y
	DELETE Dealer Group Configuration.												Y
Dealer Group Hierarchy	READ Dealer Group Hierarchy						Y					Y	Y
	ADD Dealer Group Hierarchy											Y	Y
	EDIT Dealer Group Hierarchy											Y	Y
	DELETE Dealer Group Hierarchy												Y
Earning Assignments	READ Earning Assignments Rates						Y	Y					Y
	ADD Earning Assignment Rate												Y
	EDIT Earning Assignments Rates												Y
	DELETE Earning Assignments Rates												Y
Earning Curves	READ Earning Curve Rates						Y	Y					Y
	ADD Earning Curve Rates												Y
	EDIT Earning Curve Rates												Y
	DELETE Earning Curve Rates												Y
Earning Groups	READ Earning Group Rates						Y	Y					Y
	ADD Earning Group Rates												Y
	EDIT Earning Group Rates												Y
	DELETE Earning Group Rates												Y
Earning Sets	READ Earning Set Rates						Y	Y					Y
	EDIT Earning Set Rates												Y
Eligibility Tiers	READ Eligibility Tiers					Y	Y					Y	Y
	ADD Eligibility Tiers												Y
	EDIT Eligibility Tiers												Y
	DELETE Eligibility Tiers												Y
	Can CREATE PowerBI reports												Y
	Can EDIT PowerBI reports												Y
	Can READ PowerBI reports												Y
	Run Power Reports												Y
F&I Deal Log	READ F&I Deal Log												Y
	SEE All F&I Users Within Dealer												Y
	EDIT F&I Deal Log												Y
	EDIT Other F&I Users Data												Y
	READ DMS Deal Mapping												Y
	EDIT DMS Deal Mapping												Y
Form Definition	READ Form Definition (Search Form Definition)					Y	Y					Y	Y
	ADD Form Definition											Y	Y
	MODIFY Form Definition											Y	Y
	DELETE Form Definition											Y	Y
	ADD Message											Y	Y
	EDIT Message											Y	Y
	DELETE Message												Y
FSM	EDIT FSM Forecasts 												Y
Hidden Category	Can access Web API												Y
	USE Conversion Data												Y
	IMPORT Warehouse Contracts												Y
	Search Upload File												Y
	IMPORT Dealers												Y
	IMPORT Dealer Locations												Y
	IMPORT Manufacturers												Y
	IMPORT Servicers												Y
	IMPORT Service Rates												Y
	IMPORT Service Types												Y
	IMPORT Servicer Insurances												Y
	IMPORT Tiers												Y
	IMPORT Failure Types												Y
	IMPORT Contracts												Y
	IMPORT Claims												Y
	IMPORT Contracts Status Change												Y
	IMPORT Categories												Y
	IMPORT Subcategories												Y
	IMPORT Positions												Y
	IMPORT Sales Representatives												Y
	IMPORT  Flex - Prepaid Maintenance 												Y
	Import Suspended Contracts												Y
	Search Suspended Contracts												Y
Incentive Programs	READ Incentive Programs (Search Incentive Programs)						Y	Y				Y	Y
	ADD Incentive Programs												Y
	EDIT Incentive Programs												Y
	DELETE Incentive Programs												Y
	READ Incentive Program Groups (Search Incentive Program Groups)												Y
	ADD Incentive Program Groups												Y
	EDIT Incentive Program Groups												Y
	DELETE Incentive Program Groups												Y
	VIEW DOCUMENTS Incentive Program Groups												Y
	DELETE Documents												Y
	ADD Documents												Y
	EDIT Documents												Y
	READ NOTES Incentive Program Groups												Y
	Can READ Notes												Y
	Can ADD Notes												Y
	Can EDIT Notes												Y
	Can DELETE Notes												Y
	ADD Exchange Rate												Y
	DELETE Exchange Rate												Y
	EDIT Exchange Rate												Y
	READ Exchange Rate												Y
	READ Reinsurance Program Audit Log Tab												Y
	READ Premium Tax Profiles												Y
	READ Installment												Y
Insurance Company	READ Accounting Tab												Y
	EDIT Accounting Information												Y
	READ Insurance Company											Y	Y
	ADD Insurance Company												Y
	CHANGE Insurance Company												Y
	DELETE Insurance Company												Y
Interest Rate Profiles	READ Interest Rate Profiles												Y
	READ Interest Rate Profiles Audit Log												Y
Lender	READ Lender Information						Y	Y				Y	Y
	ADD Lender Information												Y
	EDIT Lender Information											Y	Y
	EDIT Federal Tax ID											Y	Y
	DELETE Lender Information												Y
	EDIT Lender Number												Y
Note Types	AVAILABLE Assigned note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Call Log note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Cancellation Request note type												Y
	AVAILABLE Contact Authorization note type												Y
	AVAILABLE Contract Rejection Reason note type												Y
	AVAILABLE Contract Upload note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Customer Knowledge note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Delayed note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Disposition note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Email note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Escalation note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Exception note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Fax note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Follow-up note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Goodwill note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Hardware Denial note type												Y
	AVAILABLE Incoming note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Information note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Inspection Note note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Legal note type												Y
	AVAILABLE Legal Representation  note type												Y
	AVAILABLE Mainframe Refresh note type												Y
	AVAILABLE Outgoing note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Part Information note type						Y						Y
	AVAILABLE Quote note type												Y
	AVAILABLE Reminder note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Status Change Upload note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Transfer note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	AVAILABLE Upgrade/Renewal Call note type												Y
	AVAILABLE Warning note type	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Payee	ADD Payee									Y			Y
	READ Payee					Y	Y					Y	Y
	ADD/EDIT Payee									Y		Y	Y
	DELETE Payee												Y
	EDIT Federal Tax ID												Y
	VIEW Federal Tax ID												Y
	EDIT Payee Number												Y
Policy Allocation	READ Policy Allocation												Y
	ADD Policy Allocation												Y
	EDIT Policy Allocation												Y
	DELETE Policy Allocation												Y
Posts	READ Posts	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Posts						Y	Y	Y	Y		Y	Y
	EDIT Posts						Y	Y	Y	Y		Y	Y
	DELETE Posts						Y	Y				Y	Y
Product Type Configuration	EDIT Product Types												Y
Rate Books	READ Rate Books												Y
	ADD Rate Books												Y
	EDIT Rate Books												Y
	DELETE Rate Books												Y
Rating Profiles	READ Rating Profiles 						Y					Y	Y
	ADD Rating Profiles						Y						Y
	EDIT Rating Profiles						Y						Y
	DELETE Rating Profiles						Y						Y
Reinsurance	ALLOW PCRS CRM access												Y
Reinsurance Program	READ Reinsurance (Search Reinsurance Company)						Y	Y				Y	Y
	ADD Reinsurance Company												Y
	EDIT Reinsurance Company												Y
	DELETE Reinsurance Company												Y
	READ Reinsurance Owner						Y	Y				Y	Y
	ADD Reinsurance Owner												Y
	EDIT Reinsurance Owner												Y
	DELETE Reinsurance Owner												Y
	VIEW Bank Activity Tab												Y
	ADD Bank Activity												Y
	EDIT Bank Activity												Y
	EDIT Prior Month in Bank Activity - *Only this permission shows EDIT action on one prior month												Y
	EDIT All Months in Bank Activity												Y
	DELETE Bank Activity												Y
	VIEW Reinsurance Company License Tab												Y
	ADD Reinsurance Company License												Y
	EDIT Reinsurance Company License												Y
	DELETE Reinsurance Company License												Y
	READ Reinsurance Company Audit Log Tab												Y
	READ Reinsurance Company Management Companies												Y
	ADD Reinsurance Company Management Companies												Y
	EDIT Reinsurance Company Management Companies												Y
	EDIT Federal Tax ID											Y	
	VIEW Federal Tax ID												Y
	EDIT Reinsurance Company Bank Activity Sub Account												Y
	EDIT Reinsurance Company Bank Activity Interest Income on Sub Account of type "Funds Withheld"												Y
	EDIT Reinsurance Company Bank Activity Accounting Month Status												Y
	ACCESS Contacts												Y
	ADD Notes												Y
	DELETE Notes												Y
	EDIT Notes												Y
	READ Notes Tab												Y
	SUBSCRIBE to Report RPT050											Y	
	SUBSCRIBE to RPT215 BDM											Y	
	SUBSCRIBE to RPT215 Principal											Y	
	SUBSCRIBE to RPT215 Dealer											Y	
Reports - Admin	READ Risk Management						Y	Y				Y	Y
	RUN Claims Detail 						Y	Y				Y	Y
	RUN Contracts Export						Y-$10,000					Y-$10,000	Y
	RUN ETAV/RVI						Y	Y					
	Execute RPT070_EtchReservesReport.												Y
	ACCESS RPT151 Contracts Sale						Y	Y					Y
	ACCESS RPT165 Daily Transaction												Y
	ACCESS RPT170 Sales Profit Prepaid												Y
	ACCESS RPT230 Dealer 360 Daily Status												Y
	ACCESS RPT231 Dealer 360 Daily Remittance Status												Y
	ACCESS RPT569 Cancellation Details											Y	Y
	ACCESS RPT580 Master Accident Year Loss						Y	Y				Y	Y
	ACCESS RPT601 Contracts Payments Error Report											Y	Y
	ACCESS RPT700 User Import Log Sheet											Y	Y
	ACCESS RPT730 Daily Status Report											Y	Y
	ACCESS RPT780 User Contracts Activity						Y	Y				Y	Y
	ACCESS RPT781 User Note Log											Y	Y
	ACCESS RPT908 Contracts Transaction Details											Y	Y
	ACCESS RPT570 - Cancel Rule Detail Report.												Y
	ACCESS RPT579 - Cancellation Report.												Y
	RPT600 Payee Dropdown- Exclude Agent Payees for Dealer Group Users												Y
	RPT600 Payee Dropdown- Exclude non-Main Agent Payees for Dealer Group Users												Y
	Execute RPT650 - Coverage Summary.						Y	Y				Y	Y
	ACCESS RPT710 - Bucket Breakdown.											Y	Y
	ACCESS RPT1500 - Dealer Billing Statement.												Y
	ACCESS RPT1502 - Dealer Statement.												Y
Reports - Billing	RUN Dealer Receivables Statement												Y
Reports - Billing & Payments	ACCESS RPT160 - List of Registers.												Y
	ACCESS RPT161 - Out of Balance Registers.												Y
	ACCESS RPT163 - Payment Details Report.												Y
	ACCESS RPT164 - List of Deposits.												Y
	ACCESS RPT202 - Dealer Receivable Report.												Y
	ACCESS RPT203 - Cash Balancing Payments.												Y
	ACCESS RPT206 - Cash Balancing Receivable Detail.												Y
	ACCESS RPT600 - Payee Statement.											Y	Y
	ACCESS RPT602 - Payee Extract.											Y	Y
	ACCESS RPT612 - Payee Statement by Dealer.												Y
	ACCESS RPT674 - Payee Transaction Report.												Y
	ACCESS RPT689 - Payee Statement Summary.												Y
	ACCESS RPT699 - Payee Bucket Summary Report.												Y
	ACCESS RPT905 - Dealer Billing Statement.											Y	Y
	ACCESS RPT906 - Aging Dealer Balance Summary.											Y	Y
	ACCESS RPT907 - Dealer Balance Report.											Y	Y
	ACCESS RPT939 - Aging Balance Details.												Y
	ACCESS RPT1002 - Invoice For Pending Contracts.												Y
	ACCESS RPT1003-Cancellation Statement.												Y
Reports - Claims	ACCESS RPT555 Claim Summary	Y	Y	Y	Y	Y	Y	Y				Y	Y
	ACCESS RPT560 Claim Details	Y	Y	Y	Y	Y	Y	Y				Y	Y
	ACCESS RPT562 Claims Payments Reconciliation						Y	Y	Y	Y		Y	Y
	ACCESS RPT565 Claim Paid Financial						Y	Y				Y	Y
	ACCESS RPT567 Open Claims Listing	Y	Y	Y	Y	Y	Y	Y				Y	Y
	ACCESS RPT568 Service Repair Orders	Y	Y	Y	Y	Y	Y	Y				Y	Y
	ACCESS RPT505 - Claim Inspections.											Y	Y
	ACCESS RPT553 - Claims By Adjuster.												Y
	ACCESS RPT557 - Claim Summary by Work Order.					Y	Y	Y	Y	Y		Y	Y
	Execute RPT558 - Claim Labor Rate by Postal Code.	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ACCESS RPT559 - Lost Service.						Y					Y	Y
	Execute RPT563 - Claim Payment Details.												Y
	ACCESS RPT564 - Claim Activity by Adjuster.	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ACCESS RPT588 - Servicer Portal Claim Details.											Y	Y
	ACCESS RPT589 - Servicer Portal KPI Report.											Y	Y
	RUN F&I reports with Dealer Names						Y	Y				Y	Y
	RUN Risk Management						Y	Y				Y	Y
	ACCESS RPT721 Remitted and Pending Contracts						Y	Y				Y	Y
	RUN Performance Analysis						Y	Y				Y	Y
	RUN Submitting Agent Summary						Y	Y					Y
	RUN Submitting Agent Breakdown						Y	Y					Y
	ACCESS RPT204 - Dealer Group Commissions.												Y
	Execute RPT210 - Remitted and Pending Contracts.												Y
	RUN Seller Performance Analysis						Y	Y					Y
	Execute RPT219 - Transfer Fees Report.												Y
	RUN Submitting Agent Term Analysis						Y	Y					Y
	RUN Submitting Agent Monthly Analysis						Y	Y					Y
	ACCESS RPT530 Cession Statement						Y	Y					Y
	ACCESS RPT590 Amortization						Y	Y					Y
	Run Payee Statement with Contracts Details						Y	Y				Y	Y
	ACCESS RPT604 Expanded Sales Summary						Y	Y				Y	Y
	Run RPT605 - Remittance Monitor.						Y	Y					Y
	Run Financial Summary.						Y	Y					Y
	Can Run RPT502 - Claim Marketing Report.											Y	
	Execute RPT552 - Sales and Claims Loss Ratio.												Y
	Execute RPT554 - Claim Management Listing.												Y
	ACCESS RPT574 - Cancellation Recap Report.												Y
	ACCESS RPT576 - Reward Coupons.						Y		Y	Y	Y	Y	Y
	Execute RPT583 - Payment Processor Activity List.									Y			Y
	Execute RPT587 - Open Claims Listing Details.												Y
	Can Run RPT615 - Dealer Production Report.												Y
	ACCESS RPT621 - Sale Gross Summary By Coverage.												Y
	ACCESS RPT640 - Earning Curve Extract.						Y	Y					Y
	Can Run RPT652 - Dealer Coverage Configuration.												Y
	ACCESS RPT660 - Dealer Listing.						Y	Y				Y	Y
	ACCESS RPT670 - Lender Summary.											Y	Y
	ACCESS RPT690 - User Security Report.						Y	Y				Y	Y
	ACCESS RPT691 - Security Rules Details.												Y
	ACCESS RPT704 - Form Configuration.												Y
	ACCESS RPT720 - Dealer Configuration.											Y	Y
	Execute RPT914A - Quarrterly Summary by IBNR.												Y
	Can Run RPT1010 - User Listing Report.												Y
	ACCESS RPT910 - Reinsurance Written Summary.												Y
	ACCESS RPT912 - Reinsurance Written Summary Percent Admin.												Y
	ACCESS RPT915 - Reinsurance Earned Summary.												Y
	ACCESS RPT916 - Reinsurance Earned Summary Percent Admin.												Y
Reports - Finance	Earnings Fee/Bucket Category Dropdown - RESTRICT to Reserves & Fees												Y
	ACCESS RPT630 Earning Audit Report						Y	Y					Y
	ACCESS RPT740 Contracts Income												Y
	ACCESS RPT629 - ITD Loss Ratio Summary.												Y
	RPT629 Earn Set Dropdown -Hide Earn Set 1												Y
	RPT629 Earn Set Dropdown -Hide Earn Set 2												Y
	RPT629 Earn Set Dropdown -Hide Earn Set 3												Y
	Can Run RPT631 - Earnings Experience.												Y
	ACCESS RPT632 - Loss Ratio Report.												Y
	Execute RPT634 - Earnings Forecast.												Y
	ACCESS RPT635 - Unearned Premium Reserve Detail.												Y
	ACCESS RPT638 - Unearned Premium Reserve Detail.												Y
	Execute RPT741 - Income Summary By Dealer												Y
	ACCESS RPT742 - Contract Adjustment Report.												Y
	ACCESS RPT1504 - Contract Income.												Y
Reports - Risk Management	ACCESS RPT400 - Class Profitability.						Y	Y				Y	Y
	ACCESS RPT410 - Dealer Group Profitability.						Y	Y				Y	Y
	ACCESS RPT420 - Dealer Profitability by Class.						Y	Y				Y	Y
	ACCESS RPT430 - Dealer Profitability by Coverage.						Y	Y				Y	Y
	ACCESS RPT440 - Dealership Group Profitability by Coverage.						Y	Y				Y	Y
	ACCESS RPT450 - Manufacturer Model Profitability.						Y	Y				Y	Y
	ACCESS RPT460 - Manufacturer Profitability.						Y	Y				Y	Y
	ACCESS RPT470 - Coverage and Class Profitability.						Y	Y				Y	Y
	ACCESS RPT480 - Coverage Deductible Profitability.						Y	Y				Y	Y
	ACCESS RPT490 - Coverage Profitability.						Y	Y				Y	Y
	ACCESS RPT500 - Sold by Model and Cylinders.						Y	Y				Y	Y
	ACCESS RPT510 - Term Coverage Profitability.						Y	Y				Y	Y
	ACCESS RPT566 Prepaid Maintenance Usage						Y	Y				Y	Y
Reports - Sales	ACCESS RPT603 Sales Summary						Y	Y					Y
	ACCESS RPT620 Sale Gross Summary By Coverage												Y
	ACCESS RPT920 Contracts/Penetration Sales Rankings												Y
	ACCESS RPT920V3 - Contract Sales Rankings.												Y
Risk Management	READ Risk Management						Y	Y				Y	Y
Sales	View Sales Dashboard	Y					Y	Y				Y	Y
	Display Dashboard Claims Tab	Y					Y	Y				Y	Y
	READ Vehicle Sales Projections	Y					Y	Y					
Sales Register	READ Sales Register						Y					Y	Y
	Allow user to process ACH Payments												Y
	Allow user to process Credit Card (Customer) Payments												Y
	Allow user to process Credit Card (Dealer) Payments												Y
	Allow user to process via Check												Y
	PROCESS Sales Register												Y
	EDIT Closed Sales Register												Y
	DELETE Sales Register											Y	Y
	Allow user to VIEW not funded contracts						Y					Y	Y
	VOID Sales Register												Y
	Read Register Payment History						Y					Y	Y
	Edit Register Payment History												Y
	Delete Register Payment History												Y
	Remit Claims on Sales Register												Y
	Remit Other on Sales Register												Y
Screen Locks	READ Screen Locks						Y	Y		Y		Y	Y
	UNLOCK Screen 					Y	Y	Y		Y		Y	Y
Seller	Allow user to Access Absorb Training											Y	
Servicer	READ Servicer Tab (Search Servicer)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	READ Servicer 	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Servicer	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	EDIT Servicer					Y	Y	Y		Y	Y	Y	Y
	DELETE Servicer											Y	Y
	EDIT Servicer Number											Y	Y
	READ Contacts	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Contacts	Y	Y	Y	Y	Y	Y	Y			Y	Y	Y
	EDIT Contacts						Y	Y				Y	Y
	DELETE Contacts												Y
	READ Documents	Y	Y			Y	Y	Y	Y	Y	Y	Y	Y
	ADD Documents	Y	Y			Y	Y	Y	Y	Y	Y	Y	Y
	EDIT Documents											Y	Y
	DELETE Documents												Y
	READ Notes	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Notes	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	EDIT Notes							Y				Y	Y
	DELETE Notes											Y	
	DEACTIVATE Alerts						Y	Y				Y	Y
	READ Federal Tax ID											Y	Y
	READ Service Types	Y	Y	Y		Y	Y	Y	Y	Y	Y	Y	
	ADD Service Types			Y			Y	Y		Y		Y	
	EDIT Federal Tax ID											Y	
	EDIT Service Types									Y		Y	
	READ Insurances						Y					Y	Y
	ADD Insurances						Y						Y
	EDIT Insurances												Y
	READ Service Area	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
	ADD Service Area						Y	Y		Y		Y	Y
	EDIT Service Area						Y	Y		Y		Y	
	READ Service Info	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
	ADD Service Info						Y	Y		Y		Y	Y
	EDIT Service Info						Y	Y		Y		Y	
	READ Servicer Rates		Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ADD Servicer Rates						Y	Y				Y	Y
	EDIT Servicer Rates						Y	Y				Y	Y
	READ un-assigned Service Orders						Y					Y	Y
TAX Profile Configuration	READ Tax Profile						Y					Y	Y
	ADD Tax Profile						Y						Y
	EDIT Tax Profile						Y					Y	Y
	DELETE Tax Profile												Y
Tpa Policy	READ TPA Policy						Y	Y					Y
	ADD TPA Policy												Y
	EDIT TPA Policy												Y
	DELETE TPA Policy												Y
TPA Settings	READ TPA Settings					Y							Y
	EDIT TPA Settings												Y
User Security	PCRS link visible on PCRS+	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	Take user to PCRS+						Y	Y				Y	Y
	Clone User Profile/Template							Y				Y	Y
	Edit My Profile in PCRS+											Y	Y
	READ User Profile (Search User)						Y	Y				Y	Y
	ADD User							Y				Y	Y
	CREATE Security Templates											Y	Y
	EDIT User Profile  							Y				Y	Y
	EDIT users with Custom Profile							Y				Y	Y
	Resend Activation Link							Y				Y	
	DELETE User												Y
	CHANGE Password							Y				Y	Y
	CANNOT Edit Password. Password does not expire												Y
	CHANGE Status							Y				Y	Y
	ACCESS Role	Y-$1	Y-$1	Y-$1	Y-$1	Y-$1		Y-$1	Y-$1	Y-$1	Y-$1	Y-$1	Y
	CHANGE Role							Y				Y	Y
	READ Support Portal	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	ACCESS User Information Panel							Y				Y	Y
	ACCESS User Role Template Panel							Y				Y	Y
User Security - Positions to access	Accountant						Y	Y				Y	Y
	Controller						Y	Y				Y	Y
	Customer	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
	Dealer Principal						Y	Y				Y	Y
	F&I Manager						Y	Y				Y	Y
	Field Representative						Y	Y				Y	Y
	Funding Contact						Y	Y				Y	Y
	General Manager						Y	Y				Y	Y
	Installer						Y	Y				Y	Y
	Monthly Remittance Contact						Y	Y				Y	Y
	Office Manager						Y	Y					Y
	Parts Manager						Y	Y				Y	Y
	Repo Contact						Y	Y				Y	Y
	Residuals Contact						Y	Y				Y	Y
	Sales Manager						Y	Y				Y	Y
	Salesperson						Y	Y				Y	Y
	Service Adviser												Y
	Service Manager						Y	Y				Y	Y
	TPA												Y
	Unassigned Position						Y	Y				Y	Y
	Workload distribution	Y	Y	Y	Y		Y	Y	Y	Y	Y	Y	Y
User Security - Positions to EDIT	Accountant						Y	Y				Y	Y
	Controller						Y	Y				Y	Y
	Dealer Principal						Y	Y				Y	Y
	F&I Manager						Y	Y				Y	Y
	Field Representative						Y	Y				Y	Y
	Funding Contact						Y	Y				Y	Y
	General Manager						Y	Y				Y	Y
	Installer						Y	Y				Y	Y
	Monthly Remittance Contact						Y	Y				Y	Y
	Office Manager						Y	Y				Y	Y
	Parts Manager						Y	Y				Y	Y
	Repo Contact						Y	Y				Y	Y
	Residuals Contact						Y	Y				Y	Y
	Sales Manager						Y	Y				Y	Y
	Salesperson						Y	Y				Y	Y
	Service Adviser												Y
	Service Manager						Y	Y				Y	Y
	TPA												Y
	Unassigned Position						Y	Y				Y	Y
	Workload distribution	Y	Y	Y	Y		Y		Y	Y	Y	Y	Y
Vehicle Classification	READ Vehicle Classification						Y	Y				Y	Y
	ADD Vehicle Classification											Y	Y
	EDIT Vehicle Classification											Y	Y
	DELETE Vehicle Classification											Y	Y
	EXPORT Class Assignments												Y
VIN	READ VIN (Search VIN)	Y	Y	Y	Y		Y	Y	Y	Y	Y	Y	Y
	ADD VIN											Y	Y
	EDIT VIN											Y	Y
	DELETE VIN											Y	Y
	ADD Make & Model											Y	Y
Volume Discounts	READ Volume Discounts						Y					Y	Y
	ADD Volume Discounts												Y
	EDIT Volume Discounts												Y
	DELETE Volume Discounts												Y
